kepid,kepoi_name,koi_disposition,koi_score
5370302,K00831.01,FALSE POSITIVE,0.0060
5372966,K00832.01,FALSE POSITIVE,0.0000
5376067,K00833.01,FALSE POSITIVE,0.0000
5436502,K00834.01,CONFIRMED,0.9990
5436502,K00834.02,CONFIRMED,0.9960
5436502,K00834.03,CONFIRMED,0.9970
5436502,K00834.04,CONFIRMED,1.0000
10875245,K00117.03,CONFIRMED,0.9950
5436502,K00834.05,CONFIRMED,0.9890
5456651,K00835.01,CONFIRMED,1.0000
5456651,K00835.02,CONFIRMED,0.8780
5481416,K00836.01,FALSE POSITIVE,0.0000
5531576,K00837.01,CONFIRMED,1.0000
5531576,K00837.02,CONFIRMED,1.0000
5534814,K00838.01,FALSE POSITIVE,0.0000
6291653,K00850.01,CONFIRMED,0.9990
6392727,K00851.01,CONFIRMED,1.0000
6422070,K00852.01,CONFIRMED,0.8760
6428700,K00853.01,CONFIRMED,1.0000
6428700,K00853.02,CONFIRMED,1.0000
5792202,K00841.03,CONFIRMED,1.0000
5794379,K00842.01,CONFIRMED,1.0000
5794379,K00842.02,CONFIRMED,0.9990
5881688,K00843.01,CONFIRMED,1.0000
6022556,K00844.01,CONFIRMED,1.0000
6032497,K00845.01,CONFIRMED,1.0000
6061119,K00846.01,CONFIRMED,0.9850
6191521,K00847.01,CONFIRMED,0.9420
6267425,K00848.01,FALSE POSITIVE,0.0000
3531558,K00118.01,CONFIRMED,0.9120
6276477,K00849.01,CONFIRMED,1.0000
6863998,K00867.01,CONFIRMED,1.0000
6867155,K00868.01,CANDIDATE,0.9980
6948054,K00869.01,CONFIRMED,1.0000
6948054,K00869.02,CONFIRMED,1.0000
6948054,K00869.03,CONFIRMED,1.0000
6435936,K00854.01,CONFIRMED,0.9960
6522242,K00855.01,CONFIRMED,0.9740
6526710,K00856.01,CANDIDATE,0.9940
6587280,K00857.01,CONFIRMED,1.0000
9471974,K00119.01,CONFIRMED,0.9590
6587280,K00857.02,CONFIRMED,0.9940
6599919,K00858.01,CANDIDATE,0.0000
6675056,K00859.01,FALSE POSITIVE,0.0000
6685526,K00861.01,CONFIRMED,1.0000
6756669,K00862.01,FALSE POSITIVE,0.0000
6784235,K00863.01,CONFIRMED,1.0000
6849310,K00864.01,CONFIRMED,1.0000
6849310,K00864.02,CONFIRMED,1.0000
6849310,K00864.03,CONFIRMED,1.0000
6862328,K00865.01,CANDIDATE,1.0000
9471974,K00119.02,CONFIRMED,0.9870
6862603,K00866.01,FALSE POSITIVE,0.0000
7366258,K00880.01,CONFIRMED,1.0000
7366258,K00880.02,CONFIRMED,0.9830
7366258,K00880.03,CONFIRMED,1.0000
7366258,K00880.04,CONFIRMED,1.0000
7373451,K00881.01,CONFIRMED,1.0000
6948054,K00869.04,CONFIRMED,1.0000
6949607,K00870.01,CONFIRMED,1.0000
6949607,K00870.02,CONFIRMED,1.0000
7031517,K00871.01,CANDIDATE,0.0000
